subject,method,band,window,car,accuracy,kappa,fold_accuracy_std
A02,CSP+SVM,4-40Hz,0.5-3.5s,False,0.5451388888888888,0.3935185185185185,0.0581962738873587
A02,FBCSP+LDA,4-40Hz,0.5-3.5s,False,0.5798611111111112,0.4398148148148147,0.0263705960774121
A02,CSP+SVM,4-40Hz,0.5-3.5s,True,0.5416666666666666,0.3888888888888888,0.0665961421124615
A02,FBCSP+LDA,4-40Hz,0.5-3.5s,True,0.5798611111111112,0.4398148148148147,0.0275287022300385
A02,CSP+SVM,4-40Hz,0.5-4.0s,False,0.5868055555555556,0.449074074074074,0.0630367864859307
A02,FBCSP+LDA,4-40Hz,0.5-4.0s,False,0.6041666666666666,0.4722222222222222,0.0509545705472687
A02,CSP+SVM,4-40Hz,0.5-4.0s,True,0.5347222222222222,0.3796296296296296,0.0457181396208482
A02,FBCSP+LDA,4-40Hz,0.5-4.0s,True,0.5694444444444444,0.4259259259259259,0.0303100392908993
A02,CSP+SVM,4-40Hz,1.0-4.0s,False,0.5902777777777778,0.4537037037037037,0.0600849308261921
A02,FBCSP+LDA,4-40Hz,1.0-4.0s,False,0.6076388888888888,0.4768518518518518,0.0390672532885952
A02,CSP+SVM,4-40Hz,1.0-4.0s,True,0.5902777777777778,0.4537037037037037,0.059290467390716
A02,FBCSP+LDA,4-40Hz,1.0-4.0s,True,0.6145833333333334,0.4861111111111111,0.0063113376192353
A03,CSP+SVM,8-30Hz,0.5-2.5s,False,0.84375,0.7916666666666666,0.0285868085542313
A03,FBCSP+LDA,8-30Hz,0.5-2.5s,False,0.7708333333333334,0.6944444444444444,0.0292625926990252
A03,CSP+SVM,8-30Hz,0.5-2.5s,True,0.8472222222222222,0.7962962962962963,0.0336893036320351
A03,FBCSP+LDA,8-30Hz,0.5-2.5s,True,0.7638888888888888,0.6851851851851851,0.0272087075599421
A03,CSP+SVM,8-30Hz,0.5-3.5s,False,0.8680555555555556,0.8240740740740741,0.0500801488629306
A03,FBCSP+LDA,8-30Hz,0.5-3.5s,False,0.7465277777777778,0.662037037037037,0.0508654304966166
A03,CSP+SVM,8-30Hz,0.5-3.5s,True,0.8541666666666666,0.8055555555555556,0.070472699982542
A03,FBCSP+LDA,8-30Hz,0.5-3.5s,True,0.7430555555555556,0.6574074074074074,0.0621104616185844
A03,CSP+SVM,8-30Hz,0.5-4.0s,False,0.8541666666666666,0.8055555555555556,0.0326149556785274
A03,FBCSP+LDA,8-30Hz,0.5-4.0s,False,0.7395833333333334,0.6527777777777778,0.0431297507335594
A03,CSP+SVM,8-30Hz,0.5-4.0s,True,0.8541666666666666,0.8055555555555556,0.0326149556785274
A03,FBCSP+LDA,8-30Hz,0.5-4.0s,True,0.7395833333333334,0.6527777777777778,0.0431297507335594
A03,CSP+SVM,8-30Hz,1.0-4.0s,False,0.8194444444444444,0.7592592592592593,0.0523988149746183
A03,FBCSP+LDA,8-30Hz,1.0-4.0s,False,0.7152777777777778,0.6203703703703703,0.0380137765718886
A03,CSP+SVM,8-30Hz,1.0-4.0s,True,0.8229166666666666,0.7638888888888888,0.0544832839115727
A03,FBCSP+LDA,8-30Hz,1.0-4.0s,True,0.7152777777777778,0.6203703703703703,0.0410226685830654
A03,CSP+SVM,7-35Hz,0.5-2.5s,False,0.8333333333333334,0.7777777777777778,0.0379896038752985
A03,FBCSP+LDA,7-35Hz,0.5-2.5s,False,0.7465277777777778,0.662037037037037,0.022813034263595
A03,CSP+SVM,7-35Hz,0.5-2.5s,True,0.8298611111111112,0.7731481481481481,0.0326075488762353
A03,FBCSP+LDA,7-35Hz,0.5-2.5s,True,0.7743055555555556,0.6990740740740741,0.0156758374518686
A03,CSP+SVM,7-35Hz,0.5-3.5s,False,0.8680555555555556,0.8240740740740741,0.0508658621955502
A03,FBCSP+LDA,7-35Hz,0.5-3.5s,False,0.7430555555555556,0.6574074074074074,0.0362948173937312
